epoch,step,test_acc,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,56,,,,,0.0714285746216774,5.773136138916016
0,56,,,0.008888889104127884,5.868404388427734,,
1,113,,,,,0.1071428582072258,5.597762584686279
1,113,,,0.06666667014360428,5.733414173126221,,
2,170,,,,,0.1428571492433548,5.480703830718994
2,170,,,0.18666666746139526,5.584173202514648,,
3,227,,,,,0.1785714328289032,5.302518367767334
3,227,,,0.23999999463558197,5.437716007232666,,
4,284,,,,,0.25,5.163004398345947
4,284,,,0.2266666740179062,5.312532424926758,,
5,341,,,,,0.2142857164144516,5.018802165985107
5,341,,,0.25333333015441895,5.177923679351807,,
6,398,,,,,0.2857142984867096,4.788142681121826
6,398,,,0.23111110925674438,5.03742790222168,,
7,455,,,,,0.25,4.627619743347168
7,455,,,0.24444444477558136,4.909788608551025,,
8,512,,,,,0.25,4.539057731628418
8,512,,,0.25777778029441833,4.747659683227539,,
9,569,,,,,0.3214285671710968,4.333450794219971
9,569,,,0.2844444513320923,4.608088970184326,,
10,626,,,,,0.2857142984867096,4.151249408721924
10,626,,,0.2800000011920929,4.464748859405518,,
11,683,,,,,0.2857142984867096,3.983555555343628
11,683,,,0.2711111009120941,4.3303632736206055,,
12,740,,,,,0.2857142984867096,3.864522933959961
12,740,,,0.2933333218097687,4.182920932769775,,
13,797,,,,,0.3214285671710968,3.7331454753875732
13,797,,,0.2844444513320923,4.036255359649658,,
14,854,,,,,0.2857142984867096,3.5302414894104004
14,854,,,0.2844444513320923,3.909726619720459,,
15,911,,,,,0.3214285671710968,3.4284722805023193
15,911,,,0.2800000011920929,3.7691619396209717,,
16,968,,,,,0.3214285671710968,3.2868597507476807
16,968,,,0.2711111009120941,3.646613836288452,,
17,1025,,,,,0.3214285671710968,3.150524377822876
17,1025,,,0.29777777194976807,3.51713490486145,,
18,1082,,,,,0.3214285671710968,2.981090784072876
18,1082,,,0.30666667222976685,3.39945912361145,,
19,1139,,,,,0.3214285671710968,2.7652385234832764
19,1139,,,0.324444442987442,3.263399362564087,,
20,1196,,,,,0.3214285671710968,2.7539641857147217
20,1196,,,0.3377777636051178,3.159921407699585,,
21,1253,,,,,0.3214285671710968,2.601289749145508
21,1253,,,0.30666667222976685,3.0733673572540283,,
22,1310,,,,,0.3214285671710968,2.470921039581299
22,1310,,,0.324444442987442,2.983314037322998,,
23,1367,,,,,0.3214285671710968,2.4515912532806396
23,1367,,,0.3377777636051178,2.905080556869507,,
24,1424,,,,,0.3214285671710968,2.3693649768829346
24,1424,,,0.3866666555404663,2.82517147064209,,
25,1481,,,,,0.3571428656578064,2.161691665649414
25,1481,,,0.3955555558204651,2.7447407245635986,,
26,1538,,,,,0.3571428656578064,2.173903703689575
26,1538,,,0.42222222685813904,2.6562395095825195,,
27,1595,,,,,0.3571428656578064,2.0629899501800537
27,1595,,,0.40888887643814087,2.625397205352783,,
28,1652,,,,,0.3928571343421936,2.0782032012939453
28,1652,,,0.41333332657814026,2.5517354011535645,,
